42201,NagasakiKen,Nagasaki,429508,198716,230792
42202,NagasakiKen,Sasebo,255439,120198,135241
42203,NagasakiKen,Shimabara,45436,20999,24437
42204,NagasakiKen,Isahaya,138078,65029,73049
42205,NagasakiKen,Omura,92757,43938,48819
42207,NagasakiKen,Hirado,31920,14874,17046
42208,NagasakiKen,Matsuura,23309,11164,12145
42209,NagasakiKen,Tsushima,31457,15361,16096
42210,NagasakiKen,Iki,27103,12860,14243
42211,NagasakiKen,Goto,37327,17339,19988
42212,NagasakiKen,Saikai,28691,14032,14659
42213,NagasakiKen,Unzen,44115,20847,23268
42214,NagasakiKen,MinamiShimabara,46535,21574,24961
42307,NagasakiKen,Nagayo,42548,20090,22458
42308,NagasakiKen,Togitsu,29804,14326,15478
42321,NagasakiKen,HigashiSonogi,8298,3886,4412
42322,NagasakiKen,Kawatana,14067,6656,7411
42323,NagasakiKen,Hasami,14891,7079,7812
42383,NagasakiKen,Ojika,2560,1172,1388
42391,NagasakiKen,Sasa,13626,6426,7200
42411,NagasakiKen,ShinKamigoto,19718,9197,10521
